Institution_Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
University of North Carolina at Chapel Hill,3808915816.0,4287902778.0,4694501500.0,3984210058.0,3779390180.0,3848221796.0,4212749234.0,4270586478.0,4933545700.0,5528094506.0,2857156316.0
University of New Mexico-Main Campus,1713622700.0,1827661508.0,2332330286.0,2270041236.0,2416940338.0,2515776468.0,2712410020.0,3134173270.0,3254197628.0,2963938696.0,1409949788.0
University of Oklahoma-Norman Campus,1254522000.0,1364376000.0,1181964000.0,1198028000.0,1221146000.0,1207276000.0,1265692000.0,1316926000.0,1385920000.0,1646564000.0,823989000.0
University of Virginia-Main Campus,2787187530.0,3082647534.0,3208993732.0,2443041416.0,2052538662.0,2353667802.0,2939491484.0,3262726680.0,3554157138.0,3602378834.0,1865803254.0
The University of Tennessee-Knoxville,1572826422.0,1635379766.0,1505173708.0,1568243118.0,1557723452.0,1211912014.0,1181688156.0,1188715748.0,1306373402.0,1452321136.0,834190017.0
University of Missouri-Columbia,2426299880.0,2519845598.0,2757876954.0,2982011758.0,3159729924.0,3352329280.0,3252428228.0,3123404916.0,4081564274.0,3851792506.0,2333802890.0
California Polytechnic State University-San Luis Obispo,497764446.0,564994226.0,639002512.0,637075818.0,614059080.0,741414434.0,767185938.0,827819388.0,923264626.0,1075982178.0,624091804.0
Columbia University in the City of New York,18111042000.0,20418552000.0,21068094000.0,19859788000.0,22089299000.0,24843320000.0,25458208000.0,27040298000.0,33846440000.0,30998084000.0,16097012000.0
University of Pittsburgh-Pittsburgh Campus,5988413450.0,7028365858.0,7220789070.0,7092915004.0,7940093948.0,8452659292.0,8685126810.0,8406948948.0,11360451772.0,11114028858.0,5518961334.0
Institute of American Indian and Alaska Native Culture and Arts Development,9910514.0,10892616.0,17620742.0,26028592.0,39001988.0,41112234.0,43980818.0,47411738.0,88663152.0,95428840.0,53778757.0
